Country Name,Country Code,Currency Unit,Year,Indicator,Score
Finland,FIN,Euro,2018,Resolving insolvency - Score,92.8
Finland,FIN,Euro,2018,Starting a business - Score,92.4
Finland,FIN,Euro,2018,Trading across borders - Score,92.4
Finland,FIN,Euro,2018,Overall Score,84.4
Finland,FIN,Euro,2019,Getting Credit - Score,60
Finland,FIN,Euro,2019,Resolving insolvency - Score,92.8
Finland,FIN,Euro,2019,Starting a business - Score,92.4
Finland,FIN,Euro,2019,Trading across borders - Score,92.4
Finland,FIN,Euro,2019,Overall Score,84.4
Finland,FIN,Euro,2020,Getting Credit - Score,60
Finland,FIN,Euro,2020,Resolving insolvency - Score,92.7
Finland,FIN,Euro,2020,Starting a business - Score,93.5
Finland,FIN,Euro,2020,Trading across borders - Score,92.4
Finland,FIN,Euro,2020,Overall Score,84.7
France,FRA,Euro,2016,Getting Credit - Score,50
France,FRA,Euro,2016,Resolving insolvency - Score,76.1
France,FRA,Euro,2016,Starting a business - Score,93.1
France,FRA,Euro,2016,Trading across borders - Score,100
France,FRA,Euro,2016,Overall Score,79.8
France,FRA,Euro,2017,Getting Credit - Score,50
France,FRA,Euro,2017,Resolving insolvency - Score,76.6
France,FRA,Euro,2017,Starting a business - Score,93.3
France,FRA,Euro,2017,Trading across borders - Score,100
France,FRA,Euro,2017,Overall Score,80
France,FRA,Euro,2018,Getting Credit - Score,50
France,FRA,Euro,2018,Resolving insolvency - Score,73.9
France,FRA,Euro,2018,Starting a business - Score,93.3
France,FRA,Euro,2018,Trading across borders - Score,100
France,FRA,Euro,2018,Overall Score,79.3
France,FRA,Euro,2019,Getting Credit - Score,50
France,FRA,Euro,2019,Resolving insolvency - Score,74.1
France,FRA,Euro,2019,Starting a business - Score,93.3
France,FRA,Euro,2019,Trading across borders - Score,100
France,FRA,Euro,2019,Overall Score,79.4
France,FRA,Euro,2020,Getting Credit - Score,50
France,FRA,Euro,2020,Resolving insolvency - Score,74.6
France,FRA,Euro,2020,Starting a business - Score,93.1
France,FRA,Euro,2020,Trading across borders - Score,100
France,FRA,Euro,2020,Overall Score,79.4
Germany,DEU,Euro,2016,Getting Credit - Score,70
Germany,DEU,Euro,2016,Resolving insolvency - Score,91.9
Germany,DEU,Euro,2016,Starting a business - Score,82.7
Germany,DEU,Euro,2016,Trading across borders - Score,91.8
Germany,DEU,Euro,2016,Overall Score,84.1
Germany,DEU,Euro,2017,Getting Credit - Score,70
Germany,DEU,Euro,2017,Resolving insolvency - Score,92.3
Germany,DEU,Euro,2017,Starting a business - Score,83.5
Germany,DEU,Euro,2017,Trading across borders - Score,91.8
Germany,DEU,Euro,2017,Overall Score,84.4
Germany,DEU,Euro,2018,Getting Credit - Score,70
Germany,DEU,Euro,2018,Resolving insolvency - Score,90.3
Germany,DEU,Euro,2018,Starting a business - Score,83.5
Germany,DEU,Euro,2018,Trading across borders - Score,91.8
Germany,DEU,Euro,2018,Overall Score,83.9
Germany,DEU,Euro,2019,Getting Credit - Score,70
Germany,DEU,Euro,2019,Resolving insolvency - Score,90.1
Germany,DEU,Euro,2019,Starting a business - Score,83.6
Germany,DEU,Euro,2019,Trading across borders - Score,91.8
Germany,DEU,Euro,2019,Overall Score,83.9
Germany,DEU,Euro,2020,Getting Credit - Score,70
Germany,DEU,Euro,2020,Resolving insolvency - Score,89.8
Germany,DEU,Euro,2020,Starting a business - Score,83.7
Germany,DEU,Euro,2020,Trading across borders - Score,91.8
Germany,DEU,Euro,2020,Overall Score,83.8
Greece,GRC,Euro,2016,Getting Credit - Score,45
Greece,GRC,Euro,2016,Resolving insolvency - Score,54.7
Greece,GRC,Euro,2016,Starting a business - Score,90.7
Greece,GRC,Euro,2016,Trading across borders - Score,93.7
Greece,GRC,Euro,2016,Overall Score,71
Greece,GRC,Euro,2017,Getting Credit - Score,45
Greece,GRC,Euro,2017,Resolving insolvency - Score,55.1
Greece,GRC,Euro,2017,Starting a business - Score,90.7
Greece,GRC,Euro,2017,Trading across borders - Score,93.7
Greece,GRC,Euro,2017,Overall Score,71.1
Greece,GRC,Euro,2018,Getting Credit - Score,45
Greece,GRC,Euro,2018,Resolving insolvency - Score,54
Greece,GRC,Euro,2018,Starting a business - Score,92.4
Greece,GRC,Euro,2018,Trading across borders - Score,93.7
Greece,GRC,Euro,2018,Overall Score,71.3
Greece,GRC,Euro,2019,Getting Credit - Score,45
Greece,GRC,Euro,2019,Resolving insolvency - Score,53.8
Greece,GRC,Euro,2019,Starting a business - Score,92.4
Greece,GRC,Euro,2019,Trading across borders - Score,93.7
Greece,GRC,Euro,2019,Overall Score,71.2
Greece,GRC,Euro,2020,Getting Credit - Score,45
Greece,GRC,Euro,2020,Resolving insolvency - Score,53.1
Greece,GRC,Euro,2020,Starting a business - Score,96
Greece,GRC,Euro,2020,Trading across borders - Score,93.7
Greece,GRC,Euro,2020,Overall Score,72
Ireland,IRL,Euro,2016,Getting Credit - Score,70
Ireland,IRL,Euro,2016,Resolving insolvency - Score,80
Ireland,IRL,Euro,2016,Starting a business - Score,92.7
Ireland,IRL,Euro,2016,Trading across borders - Score,87.2
Ireland,IRL,Euro,2016,Overall Score,82.5
Ireland,IRL,Euro,2017,Getting Credit - Score,70
Ireland,IRL,Euro,2017,Resolving insolvency - Score,80
Ireland,IRL,Euro,2017,Starting a business - Score,94.4
Ireland,IRL,Euro,2017,Trading across borders - Score,87.2
Ireland,IRL,Euro,2017,Overall Score,82.9
Ireland,IRL,Euro,2018,Getting Credit - Score,70
Ireland,IRL,Euro,2018,Resolving insolvency - Score,79
Ireland,IRL,Euro,2018,Starting a business - Score,94.4
Ireland,IRL,Euro,2018,Trading across borders - Score,87.2
Ireland,IRL,Euro,2018,Overall Score,82.7
Ireland,IRL,Euro,2019,Getting Credit - Score,70
Ireland,IRL,Euro,2019,Resolving insolvency - Score,79.1
Ireland,IRL,Euro,2019,Starting a business - Score,94.4
Ireland,IRL,Euro,2019,Trading across borders - Score,87.2
Ireland,IRL,Euro,2019,Overall Score,82.7
Ireland,IRL,Euro,2020,Getting Credit - Score,70
Ireland,IRL,Euro,2020,Resolving insolvency - Score,79.2
Ireland,IRL,Euro,2020,Starting a business - Score,94.4
Ireland,IRL,Euro,2020,Trading across borders - Score,87.2
Ireland,IRL,Euro,2020,Overall Score,82.7
Italy,ITA,Euro,2016,Getting Credit - Score,45
Italy,ITA,Euro,2016,Resolving insolvency - Score,76.1
Italy,ITA,Euro,2016,Starting a business - Score,86.7
Italy,ITA,Euro,2016,Trading across borders - Score,100
Italy,ITA,Euro,2016,Overall Score,76.9
Italy,ITA,Euro,2017,Getting Credit - Score,45
Italy,ITA,Euro,2017,Resolving insolvency - Score,76.6
Italy,ITA,Euro,2017,Starting a business - Score,86.7
Italy,ITA,Euro,2017,Trading across borders - Score,100
Italy,ITA,Euro,2017,Overall Score,77.1
Italy,ITA,Euro,2018,Getting Credit - Score,45
Italy,ITA,Euro,2018,Resolving insolvency - Score,77
Italy,ITA,Euro,2018,Starting a business - Score,86.8
Italy,ITA,Euro,2018,Trading across borders - Score,100
Italy,ITA,Euro,2018,Overall Score,77.2
Italy,ITA,Euro,2019,Getting Credit - Score,45
Italy,ITA,Euro,2019,Resolving insolvency - Score,77.3
Italy,ITA,Euro,2019,Starting a business - Score,86.8
Italy,ITA,Euro,2019,Trading across borders - Score,100
Italy,ITA,Euro,2019,Overall Score,77.3
Italy,ITA,Euro,2020,Getting Credit - Score,45
Italy,ITA,Euro,2020,Resolving insolvency - Score,77.5
Italy,ITA,Euro,2020,Starting a business - Score,86.8
Italy,ITA,Euro,2020,Trading across borders - Score,100
Italy,ITA,Euro,2020,Overall Score,77.3
Kosovo,XKX,Euro,2016,Getting Credit - Score,75
Kosovo,XKX,Euro,2016,Resolving insolvency - Score,20.3
Kosovo,XKX,Euro,2016,Starting a business - Score,93.1
Kosovo,XKX,Euro,2016,Trading across borders - Score,87
Kosovo,XKX,Euro,2016,Overall Score,68.9
Kosovo,XKX,Euro,2017,Getting Credit - Score,75
Kosovo,XKX,Euro,2017,Resolving insolvency - Score,20.9
Kosovo,XKX,Euro,2017,Starting a business - Score,95.5
Kosovo,XKX,Euro,2017,Trading across borders - Score,92.5
Kosovo,XKX,Euro,2017,Overall Score,71
Kosovo,XKX,Euro,2018,Getting Credit - Score,85
Kosovo,XKX,Euro,2018,Resolving insolvency - Score,63.3
Kosovo,XKX,Euro,2018,Starting a business - Score,95.7
Kosovo,XKX,Euro,2018,Trading across borders - Score,92.5
Kosovo,XKX,Euro,2018,Overall Score,84.1
Kosovo,XKX,Euro,2019,Getting Credit - Score,85
Kosovo,XKX,Euro,2019,Resolving insolvency - Score,63.4
Kosovo,XKX,Euro,2019,Starting a business - Score,95.7
Kosovo,XKX,Euro,2019,Trading across borders - Score,93.8
Kosovo,XKX,Euro,2019,Overall Score,84.5
Kosovo,XKX,Euro,2020,Getting Credit - Score,85
Kosovo,XKX,Euro,2020,Resolving insolvency - Score,63.5
Kosovo,XKX,Euro,2020,Starting a business - Score,95.9
Kosovo,XKX,Euro,2020,Trading across borders - Score,94.2
