Country Name,Country Code,Currency Unit,Year,Overall Score,Indicator,Score
France,FRA,Euro,2017,80,Starting a business,93.3
France,FRA,Euro,2017,80,Trading across borders,100
France,FRA,Euro,2018,79.3,Getting Creding,50
France,FRA,Euro,2018,79.3,Resolving insolvency,73.9
France,FRA,Euro,2018,79.3,Starting a business,93.3
France,FRA,Euro,2018,79.3,Trading across borders,100
France,FRA,Euro,2019,79.4,Getting Creding,50
France,FRA,Euro,2019,79.4,Resolving insolvency,74.1
France,FRA,Euro,2019,79.4,Starting a business,93.3
France,FRA,Euro,2019,79.4,Trading across borders,100
France,FRA,Euro,2020,79.4,Getting Creding,50
France,FRA,Euro,2020,79.4,Resolving insolvency,74.6
France,FRA,Euro,2020,79.4,Starting a business,93.1
France,FRA,Euro,2020,79.4,Trading across borders,100
Germany,DEU,Euro,2016,84.1,Getting Creding,70
Germany,DEU,Euro,2016,84.1,Resolving insolvency,91.9
Germany,DEU,Euro,2016,84.1,Starting a business,82.7
Germany,DEU,Euro,2016,84.1,Trading across borders,91.8
Germany,DEU,Euro,2017,84.4,Getting Creding,70
Germany,DEU,Euro,2017,84.4,Resolving insolvency,92.3
Germany,DEU,Euro,2017,84.4,Starting a business,83.5
Germany,DEU,Euro,2017,84.4,Trading across borders,91.8
Germany,DEU,Euro,2018,83.9,Getting Creding,70
Germany,DEU,Euro,2018,83.9,Resolving insolvency,90.3
Germany,DEU,Euro,2018,83.9,Starting a business,83.5
Germany,DEU,Euro,2018,83.9,Trading across borders,91.8
Germany,DEU,Euro,2019,83.9,Getting Creding,70
Germany,DEU,Euro,2019,83.9,Resolving insolvency,90.1
Germany,DEU,Euro,2019,83.9,Starting a business,83.6
Germany,DEU,Euro,2019,83.9,Trading across borders,91.8
Germany,DEU,Euro,2020,83.8,Getting Creding,70
Germany,DEU,Euro,2020,83.8,Resolving insolvency,89.8
Germany,DEU,Euro,2020,83.8,Starting a business,83.7
Germany,DEU,Euro,2020,83.8,Trading across borders,91.8
Greece,GRC,Euro,2016,71,Getting Creding,45
Greece,GRC,Euro,2016,71,Resolving insolvency,54.7
Greece,GRC,Euro,2016,71,Starting a business,90.7
Greece,GRC,Euro,2016,71,Trading across borders,93.7
Greece,GRC,Euro,2017,71.1,Getting Creding,45
